Data;Temperatura
01/01/2015;27,3
02/01/2015;27,02
03/01/2015;24,82
04/01/2015;23,98
05/01/2015;23,82
06/01/2015;23,78
07/01/2015;24
08/01/2015;24,9
09/01/2015;28,2
10/01/2015;26,76
11/01/2015;27,62
12/01/2015;25,96
13/01/2015;25,52
14/01/2015;25,96
15/01/2015;25,86
16/01/2015;26,5
17/01/2015;28,86
18/01/2015;28,26
19/01/2015;28,22
20/01/2015;27,68
21/01/2015;25,32
22/01/2015;21,74
23/01/2015;21,04
24/01/2015;23,12
25/01/2015;24,4
26/01/2015;22,4
27/01/2015;23,6
28/01/2015;25,68
29/01/2015;25
30/01/2015;22,8
31/01/2015;21,64
01/02/2015;24,16
02/02/2015;22,48
03/02/2015;23,16
04/02/2015;22,12
05/02/2015;20,28
06/02/2015;21,06
07/02/2015;21,86
08/02/2015;22,76
09/02/2015;24
10/02/2015;23,92
11/02/2015;25,38
12/02/2015;27,66
13/02/2015;25,54
14/02/2015;24,32
15/02/2015;22,9
16/02/2015;21,6
17/02/2015;22,76
18/02/2015;22,22
19/02/2015;23,92
20/02/2015;24,72
21/02/2015;25,2
22/02/2015;24,44
23/02/2015;25,4
24/02/2015;24,3
25/02/2015;22,24
26/02/2015;24,1
27/02/2015;24,64
28/02/2015;22,4
01/03/2015;21,26
02/03/2015;22,16
03/03/2015;23,16
04/03/2015;23,68
05/03/2015;24,42
06/03/2015;22,6
07/03/2015;21,92
08/03/2015;22,2
09/03/2015;21,36
10/03/2015;23,12
11/03/2015;22,88
12/03/2015;22,26
13/03/2015;22,34
14/03/2015;22,88
15/03/2015;22,08
16/03/2015;21,92
17/03/2015;21,92
18/03/2015;21,24
19/03/2015;21,78
20/03/2015;21,64
21/03/2015;20,88
22/03/2015;19,7
23/03/2015;19,88
24/03/2015;20,98
25/03/2015;21,56
26/03/2015;22,98
27/03/2015;23,32
28/03/2015;23,28
29/03/2015;22,14
30/03/2015;22,5
31/03/2015;23,14
01/04/2015;22,52
02/04/2015;20,92
03/04/2015;21,02
04/04/2015;22,36
