Dia;Temperatura;NESTLE Picole Coco 36x58g BR;CLASSIC Svt Chocolate Picole 36x59g BR;SEM PARAR Svt Copo Chocolate 12x104g BR;LA FRUTTA Svt Limao Pote 6x700ml BR;BATON Svt Picole Chocolate 50x34g BR;MOLICO Sorvete Creme Pote 6x700ml BR;SERENATA DE AMOR Mousse Cone 16x100g BR;GALAK Sorvete Pote 2L N1 BR;PRESTIGIO Sorvete Pote 2L N1 BR;NESTLE Sorvete Flocos Pote 2L N1 BR;NESTLE Sorvete Creme Pote 2L N1 BR;NESTLE Sorvete Napolitano Pote 2L N2 BR;CHAMBINHO Sorvete Morango 24x45g BR;TALENTO Svt Avelas Picole 25x55g BR;PRESTIGIO Svt Chocolover 25x60g BR;NEGRESCO Sorvete Pote 2L N1 BR;MOCA Svt Doce de Leite Picole 36x59g BR;PEGA POP Sorvete 36x48g BR;GAROTO Trio Napolitano Sorvete Pote 2LBR;CLASSIC Duo Sorvete Pote 2L BR;GAROTO CARIBE Picole 36x67g BR;GAROTO SHOW DE BOLA Picole 24x49g BR;SERENATA DE AMOR Svt Cone 16x78g BR;BATON Svt Picole Chocolate 50x32g BR;MOCA Brigadeiro Svt Picole 36x52g BR;ABRACADABRA SvtPic Tutti Frutti 30x46gBR;LOLLO Sorvete Cone 16x77g BR;GALAK Sorvete Picole 25x53g BR;LA FRUTTA Svt Morango Picole 36x58g BR;SENSACAO Sorvete Cone 16x74g BR;NESTLE Svt Napolitano Exclusivo 2L BR;CHARGE Sorvete Picole 25x60g BR;MEGA Trufa Branco Picole 20x71g BR;MEGA Classico Sorvete 20x73g BR;LA FRUTTA Abacaxi Picole 36x58g BR;LA FRUTTA Uva Picole 36x58g BR;LA FRUTTA Limao Picole 36x58g BR;MEGA Sorvete Alpino 20x73g BR;SENSACAO Sorvete Pote 2L N1 BR;PEGA POP Surpresa Sorvete 36x44g BR;CLASSIC Branco Sorvete Picole 20x53g BR;PRESTIGIO Sorvete Picole 20x54g BR;PEGA POP Sorvete Picole 36x45g BR;LA FRUTTA Manga 36x58g BR;GALAK Sorvete Pote 1,5L BR;NEGRESCO Sorvete Pote 1,5L BR;NESTLE Svt Naptn Especialidades 1,5L BR;NESTLE Svt Flocos Classic Pote 1,5L BR;SENSACAO Sorvete Pote 1,5L BR;PRESTIGIO Sorvete Pote 1,5L BR;MOCA Sorvete Brigadeiro Pote 1,5L BR;NESTLE Svt Creme Gourmet Pote 1,5L BR;LA FRUTTA Svt Manga c/ Maracuja 1,5L BR;LA FRUTTA Svt Morango c/Framboesa 1,5LBR;LA FRUTTA Svt Abacaxi c/ Coco 1,5L BR;LA FRUTTA Coco Picole 36x56g BR;NESTLE Gelato Svt Vaniglia 6x455ml BR;NESTLE Gelato Svt Crml Salato 6x455ml BR;NESTLE Gelato SvtCioccolatoNero6x455mlBR;NESTLE Gelato Svt Limoncello 6x455ml BR;MOLICO Svt Chocolate e Morango 6x455mlBR;MOLICO Sorvete Creme 6x455ml BR;NESTLE Gelato Svt Vaniglia 1,5Lts BR;ALPINO Sorvete 6x455ml BR;NEGRESCO Sorvete 6x455ml BR;NESTLE Gelato Svt Choc Nero 1,5Lts BR;CRUNCH Sorvete 6x455ml BR;NESTLE Gelato Svt Limoncello 1,5L BR;NESTLE Gelato Svt Crml Salato 1,5L BR;NESTLE Gelato Svt Limoncello 12x180ml BR;NESTLE Gelato Svt CrmlSalato 12x180ml BR;NESTLE Gelato Svt ChocNero 12x180ml BR;NESTLE Gelato Svt Vaniglia 12x180ml BR;SEM PARAR Svt Morango e Choc 12x180ml BR;MOLICO Sorvete Creme 12x180ml BR;ALPINO Sorvete 12x180ml BR;CRUNCH Sorvete 12x180ml BR;NESTLE GELATO Svt Pistacchio 6x455ml BR;NESTLE GELATO Svt PannaCotta 6x455ml BR;NESTLE Svt Creme Bulk 5L BR;NESTLE Svt Chocolate Bulk 5L BR;LA FRUTTA Svt Morango Bulk 5L BR;NESTLE Gelato Svt PannaCotta 12x180ml BR;NESTLE GELATO Svt Panna Cotta 1,5L BR;NESTLE Gelato Svt Pistacchio 12x180ml BR;Total
01/08/2014;18,16;14;15;6;2;4;4;11;32;20;16;44;41;19;2;10;21;3;5;1;14;;1;9;5;9;;9;16;9;13;17;4;10;9;;11;11;13;17;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;454
02/08/2014;19,1;13;29;8;;10;;2;23;20;16;14;23;9;4;8;17;1;;5;15;;2;6;3;10;;6;15;3;19;24;4;18;14;20;20;9;18;11;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;422
05/08/2014;10,82;8;19;21;;;;22;135;47;83;145;193;8;6;16;68;8;2;9;36;1;6;8;3;12;3;18;5;12;20;99;11;18;15;22;16;11;14;26;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1159
06/08/2014;16,18;18;23;14;;4;;15;86;70;63;50;139;26;5;19;92;5;5;2;34;;5;12;9;15;1;19;19;12;23;74;14;27;23;21;13;12;23;52;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1057
07/08/2014;15,54;13;19;22;;;;16;128;93;141;83;156;22;5;10;85;4;;2;12;3;14;6;10;12;4;9;12;6;21;112;12;20;16;37;15;9;20;22;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1188
08/08/2014;10,9;16;27;18;;1;;12;70;33;66;65;105;16;3;14;43;2;3;1;30;1;8;;11;18;5;14;13;13;15;63;10;22;19;36;17;17;24;20;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;863
09/08/2014;13,56;12;23;28;2;;4;11;72;49;68;36;115;19;4;7;52;5;4;4;21;;4;5;7;17;5;28;21;13;30;42;16;16;16;30;16;16;16;13;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;853
12/08/2014;13,34;11;21;12;;;;16;69;51;53;49;108;10;2;10;48;4;2;2;45;;6;;7;22;;17;13;5;17;39;13;20;21;25;9;9;17;8;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;768
13/08/2014;9,86;8;14;13;;;2;8;87;48;67;96;116;11;3;9;58;3;1;7;30;1;2;;6;19;1;15;14;4;20;78;12;14;20;28;5;7;14;29;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;881
14/08/2014;9,12;13;14;9;;;2;17;75;54;56;40;91;12;6;6;54;4;1;7;33;;3;;2;13;2;11;11;10;11;66;18;12;20;26;4;7;19;33;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;772
15/08/2014;12,7;23;55;21;;;4;24;53;33;45;21;70;31;21;5;28;4;30;4;30;;8;;7;19;3;15;15;8;17;53;15;20;20;53;24;17;25;19;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;854
16/08/2014;17,04;5;23;10;;;;7;52;24;22;51;58;19;2;6;33;;2;3;24;;3;;2;10;;11;10;4;13;59;13;22;13;17;14;9;11;37;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;599
19/08/2014;17,6;16;23;25;2;7;4;20;108;49;52;66;110;24;6;9;71;5;5;5;47;2;11;;9;23;2;19;20;15;29;61;11;15;18;39;28;22;25;36;21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1060
20/08/2014;15,84;90;29;20;1;;5;22;96;56;22;104;126;16;3;8;70;8;1;1;24;;5;;8;21;2;15;16;16;19;74;20;25;21;25;17;18;20;52;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1087
21/08/2014;19;143;45;38;;10;;33;40;46;37;47;50;38;2;13;40;11;12;3;20;1;11;;9;22;8;28;14;33;36;54;15;21;22;56;55;43;18;54;21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1149
